S: math/test-float64x-nextup
PASS: misc/tst-syscalls
PASS: misc/tst-sysconf-iov_max
UNSUPPORTED: misc/tst-syslog
UNSUPPORTED: misc/tst-syslog-long-progname
UNSUPPORTED: misc/tst-sysvmsg-linux
UNSUPPORTED: misc/tst-sysvsem-linux
UNSUPPORTED: misc/tst-sysvshm-linux
PASS: misc/tst-tgkill
PASS: misc/tst-timerfd
PASS: misc/tst-tsearch
--
FAIL: misc/tst-ttyname-namespace
PASS: misc/tst-warn-wide
PASS: misc/tst-writev

Running nis ...
PASS: nis/check-abi-libnsl

Running nptl ...
PASS: nptl/check-abi-libpthread
PASS: nptl/check-installed-headers-c
PASS: nptl/check-installed-headers-cxx
--
FAIL: nptl/tst-attr3
PASS: nptl/tst-attr4
PASS: nptl/tst-audit-threads
PASS: nptl/tst-backtrace1
PASS: nptl/tst-bad-schedattr
PASS: nptl/tst-barrier1
PASS: nptl/tst-barrier2
PASS: nptl/tst-barrier3
PASS: nptl/tst-barrier4
PASS: nptl/tst-barrier5
PASS: nptl/tst-basic1
--
FAIL: nptl/tst-cancel31
PASS: nptl/tst-cancel4
PASS: nptl/tst-cancel4_1
PASS: nptl/tst-cancel4_2
PASS: nptl/tst-cancel5
PASS: nptl/tst-cancel6
PASS: nptl/tst-cancel7
PASS: nptl/tst-cancel8
PASS: nptl/tst-cancel9
PASS: nptl/tst-cancelx10
PASS: nptl/tst-cancelx11
--
FAIL: nptl/tst-pthread_cancel-exited
PASS: nptl/tst-pthread_cancel-select-loop
PASS: nptl/tst-pthread_exit-nothreads
PASS: nptl/tst-pthread_exit-nothreads-static
FAIL: nptl/tst-pthread_kill-exited
PASS: nptl/tst-pthread_kill-exiting
PASS: nptl/tst-raise1
PASS: nptl/tst-robust-fork
PASS: nptl/tst-robust1
PASS: nptl/tst-robust10
PASS: nptl/tst-robust11
PASS: nptl/tst-robust2
PASS: nptl/tst-robust3
PASS: nptl/tst-robust4
PASS: nptl/tst-robust5
--
FAIL: nptl/tst-sem16
PASS: nptl/tst-sem17
PASS: nptl/tst-sem18
PASS: nptl/tst-sem19
PASS: nptl/tst-sem2
PASS: nptl/tst-sem3
FAIL: nptl/tst-sem4
PASS: nptl/tst-sem5
PASS: nptl/tst-sem6
FAIL: nptl/tst-sem7
FAIL: nptl/tst-sem8
FAIL: nptl/tst-sem9
PASS: nptl/tst-sem_getvalue-affinity
FAIL: nptl/tst-setgetname
PASS: nptl/tst-setuid3
PASS: nptl/tst-signal1
PASS: nptl/tst-signal2
PASS: nptl/tst-signal3
PASS: nptl/tst-signal4
PASS: nptl/tst-signal5
PASS: nptl/tst-signal6
PASS: nptl/tst-signal7
PASS: nptl/tst-signal8
PASS: nptl/tst-spin1
--
XFAIL: posix/annexc
PASS: posix/bug-ga1
UNSUPPORTED: posix/bug-ga2
UNSUPPORTED: posix/bug-ga2-mem
PASS: posix/bug-getopt1
PASS: posix/bug-getopt2
PASS: posix/bug-getopt3
PASS: posix/bug-getopt4
PASS: posix/bug-getopt5
PASS: posix/bug-glob2
PASS: posix/bug-glob2-mem
--
FAIL: posix/tst-spawn2
FAIL: posix/tst-spawn2-pidfd
PASS: posix/tst-spawn3
PASS: posix/tst-spawn3-pidfd
PASS: posix/tst-spawn4
PASS: posix/tst-spawn4-compat
PASS: posix/tst-spawn4-pidfd
FAIL: posix/tst-spawn5
FAIL: posix/tst-spawn5-pidfd
FAIL: posix/tst-spawn6
FAIL: posix/tst-spawn6-pidfd
PASS: posix/tst-spawn7
PASS: posix/tst-spawn7-pidfd
PASS: posix/tst-sysconf
PASS: posix/tst-sysconf-cache-linesize
PASS: posix/tst-sysconf-cache-linesize-static
PASS: posix/tst-sysconf-empty-chroot
PASS: posix/tst-truncate
PASS: posix/tst-truncate64
PASS: posix/tst-vfork1
PASS: posix/tst-vfork2
--
FAIL: posix/tst-wait3
FAIL: posix/tst-wait4
FAIL: posix/tst-waitid
PASS: posix/tst-wordexp-nocmd
PASS: posix/tstgetopt
PASS: posix/wordexp-test
PASS: posix/wordexp-tst

Running resolv ...
PASS: resolv/check-abi-libanl
PASS: resolv/check-abi-libnss_dns
PASS: resolv/check-abi-libresolv
PASS: resolv/check-installed-headers-c
--
FAIL: rt/tst-aio8
PASS: rt/tst-aio9
PASS: rt/tst-bz28213
PASS: rt/tst-clock_nanosleep2
FAIL: rt/tst-cpuclock2
PASS: rt/tst-cputimer1
FAIL: rt/tst-cputimer2
PASS: rt/tst-cputimer3
PASS: rt/tst-mqueue1
PASS: rt/tst-mqueue10
PASS: rt/tst-mqueue2
PASS: rt/tst-mqueue3
PASS: rt/tst-mqueue4
PASS: rt/tst-mqueue5
PASS: rt/tst-mqueue6
PASS: rt/tst-mqueue7
PASS: rt/tst-mqueue8
--
FAIL: rt/tst-shm
FAIL: rt/tst-shm-cancel
PASS: rt/tst-timer
PASS: rt/tst-timer-sigmask
PASS: rt/tst-timer2
PASS: rt/tst-timer3
PASS: rt/tst-timer4
PASS: rt/tst-timer5

Running setjmp ...
PASS: setjmp/bug269-setjmp
PASS: setjmp/check-installed-headers-c
--
FAIL: stdio-common/tst-freopen2
FAIL: stdio-common/tst-freopen2-mem
FAIL: stdio-common/tst-freopen3
FAIL: stdio-common/tst-freopen3-mem
PASS: stdio-common/tst-freopen4
PASS: stdio-common/tst-freopen4-mem
FAIL: stdio-common/tst-freopen5
FAIL: stdio-common/tst-freopen5-mem
PASS: stdio-common/tst-freopen6
PASS: stdio-common/tst-freopen6-mem
FAIL: stdio-common/tst-freopen64-2
FAIL: stdio-common/tst-freopen64-2-mem
FAIL: stdio-common/tst-freopen64-3
FAIL: stdio-common/tst-freopen64-3-mem
PASS: stdio-common/tst-freopen64-4
PASS: stdio-common/tst-freopen64-4-mem
PASS: stdio-common/tst-freopen64-6
PASS: stdio-common/tst-freopen64-6-mem
PASS: stdio-common/tst-freopen64-7
PASS: stdio-common/tst-freopen7
PASS: stdio-common/tst-fseek
PASS: stdio-common/tst-fwrite
PASS: stdio-common/tst-fwrite-memstrm
PASS: stdio-common/tst-fwrite-overflow
--
FAIL: stdio-common/tst-printf-fp-free
PASS: stdio-common/tst-printf-fp-free-mem
FAIL: stdio-common/tst-printf-fp-leak
PASS: stdio-common/tst-printf-fp-leak-mem
PASS: stdio-common/tst-printf-intn
PASS: stdio-common/tst-printf-oct
PASS: stdio-common/tst-printf-round
PASS: stdio-common/tst-printfsz
PASS: stdio-common/tst-printfsz-islongdouble
PASS: stdio-common/tst-put-error
PASS: stdio-common/tst-renameat2
PASS: stdio-common/tst-rndseek
PASS: stdio-common/tst-scanf-binary-c11
--
FAIL: stdlib/test-bz22786
PASS: stdlib/test-canon
PASS: stdlib/test-canon2
PASS: stdlib/test-cxa_atexit-race
PASS: stdlib/test-cxa_atexit-race2
PASS: stdlib/test-dlclose-exit-race
PASS: stdlib/test-on_exit-race
PASS: stdlib/testdiv
PASS: stdlib/testmb
PASS: stdlib/testmb2
PASS: stdlib/testrand
--
FAIL: support/tst-support-open-dev-null-range
FAIL: support/tst-support-process_state
PASS: support/tst-support_blob_repeat
PASS: support/tst-support_capture_subprocess
FAIL: support/tst-support_descriptors
PASS: support/tst-support_format_dns_packet
UNSUPPORTED: support/tst-support_fuse
PASS: support/tst-support_quote_blob
PASS: support/tst-support_quote_blob_wide
PASS: support/tst-support_quote_string
PASS: support/tst-support_readdir
PASS: support/tst-support_record_failure
PASS: support/tst-support_record_failure-2
PASS: support/tst-test_compare
PASS: support/tst-test_compare_blob
--
FAIL: wcsmbs/tst-fgetwc-after-eof
PASS: wcsmbs/tst-mbrtowc
PASS: wcsmbs/tst-mbrtowc2
PASS: wcsmbs/tst-mbsrtowcs
PASS: wcsmbs/tst-mbstowcs
PASS: wcsmbs/tst-rsi-wcslen
PASS: wcsmbs/tst-wchar-h
PASS: wcsmbs/tst-wcpncpy
PASS: wcsmbs/tst-wcrtomb
PASS: wcsmbs/tst-wcslcat
PASS: wcsmbs/tst-wcslcat2
(lfs chroot) root:/sources/glibc-2.41/build#
