NSUPPORTED: stdio-common/tst-printf-format-p-ldouble-f
FAIL: io/tst-open-tmpfile
PASS: io/tst-openat
PASS: io/tst-posix_fallocate
PASS: io/tst-posix_fallocate64
UNSUPPORTED: io/tst-read-zero
PASS: io/tst-readlinkat
PASS: io/tst-renameat
PASS: io/tst-stat
PASS: io/tst-stat-lfs
PASS: io/tst-statvfs
PASS: io/tst-statx
--
FAIL: libio/test-fputs-unbuffered-full
FAIL: libio/test-fputws-unbuffered-full
PASS: libio/test-freopen
PASS: libio/tst-asprintf-null
PASS: libio/tst-atime
PASS: libio/tst-bz22415
PASS: libio/tst-bz22415-mem
PASS: libio/tst-bz24051
PASS: libio/tst-bz24153
PASS: libio/tst-bz24228
PASS: libio/tst-bz24228-mem
PASS: libio/tst-bz28828
--
FAIL: libio/tst-fgetc-after-eof
PASS: libio/tst-fgetwc
PASS: libio/tst-fgetws
UNSUPPORTED: libio/tst-fopen-compat
PASS: libio/tst-fopenloc
PASS: libio/tst-fopenloc-cmp
PASS: libio/tst-fopenloc-mem
PASS: libio/tst-fopenloc2
PASS: libio/tst-fputws
PASS: libio/tst-freopen
PASS: libio/tst-fseek
--
XFAIL: localedata/tst-langinfo-newlocale-static
PASS: localedata/tst-langinfo-setlocale
PASS: localedata/tst-langinfo-setlocale-static
PASS: localedata/tst-leaks
PASS: localedata/tst-locale
PASS: localedata/tst-locale-loadlocale
UNSUPPORTED: localedata/tst-localedef-hardlinks
PASS: localedata/tst-mbswcs1
PASS: localedata/tst-mbswcs2
PASS: localedata/tst-mbswcs3
PASS: localedata/tst-mbswcs4
--
FAIL: login/tst-grantpt
PASS: login/tst-ptsname
PASS: login/tst-pututxline-cache
PASS: login/tst-pututxline-lockfail
FAIL: login/tst-updwtmpx
PASS: login/tst-utmp
PASS: login/tst-utmp-size
PASS: login/tst-utmp-size-64
PASS: login/tst-utmp-unsigned
PASS: login/tst-utmp-unsigned-64
PASS: login/tst-utmpx

Running malloc ...
PASS: malloc/check-abi-libc_malloc_debug
PASS: malloc/check-installed-headers-c
--
FAIL: malloc/tst-free-errno
FAIL: malloc/tst-free-errno-malloc-check
FAIL: malloc/tst-free-errno-malloc-hugetlb1
FAIL: malloc/tst-free-errno-mcheck
PASS: malloc/tst-interpose-nothread
PASS: malloc/tst-interpose-nothread-malloc-check
PASS: malloc/tst-interpose-nothread-mcheck
PASS: malloc/tst-interpose-static-nothread
PASS: malloc/tst-interpose-static-thread
PASS: malloc/tst-interpose-thread
PASS: malloc/tst-interpose-thread-malloc-check
PASS: malloc/tst-interpose-thread-mcheck
PASS: malloc/tst-mallinfo2
PASS: malloc/tst-mallinfo2-malloc-check
--
FAIL: math/test-double-modf
PASS: math/test-double-nearbyint
PASS: math/test-double-nextafter
PASS: math/test-double-nextdown
PASS: math/test-double-nexttoward
PASS: math/test-double-nextup
PASS: math/test-double-pow
PASS: math/test-double-remainder
PASS: math/test-double-remquo
PASS: math/test-double-rint
PASS: math/test-double-round
--
FAIL: math/test-float-modf
PASS: math/test-float-nearbyint
PASS: math/test-float-nextafter
PASS: math/test-float-nextdown
PASS: math/test-float-nexttoward
PASS: math/test-float-nextup
PASS: math/test-float-pow
PASS: math/test-float-remainder
PASS: math/test-float-remquo
PASS: math/test-float-rint
PASS: math/test-float-round
--
FAIL: math/test-float128-modf
PASS: math/test-float128-nearbyint
PASS: math/test-float128-nextafter
PASS: math/test-float128-nextdown
PASS: math/test-float128-nexttoward
PASS: math/test-float128-nextup
PASS: math/test-float128-pow
PASS: math/test-float128-remainder
PASS: math/test-float128-remquo
PASS: math/test-float128-rint
PASS: math/test-float128-round
--
FAIL: math/test-float32-modf
PASS: math/test-float32-nearbyint
PASS: math/test-float32-nextafter
PASS: math/test-float32-nextdown
PASS: math/test-float32-nexttoward
PASS: math/test-float32-nextup
PASS: math/test-float32-pow
PASS: math/test-float32-remainder
PASS: math/test-float32-remquo
PASS: math/test-float32-rint
PASS: math/test-float32-round
--
FAIL: math/test-float32x-modf
PASS: math/test-float32x-nearbyint
PASS: math/test-float32x-nextafter
PASS: math/test-float32x-nextdown
PASS: math/test-float32x-nexttoward
PASS: math/test-float32x-nextup
PASS: math/test-float32x-pow
PASS: math/test-float32x-remainder
PASS: math/test-float32x-remquo
PASS: math/test-float32x-rint
PASS: math/test-float32x-round
--
FAIL: math/test-float64-modf
PASS: math/test-float64-nearbyint
PASS: math/test-float64-nextafter
PASS: math/test-float64-nextdown
PASS: math/test-float64-nexttoward
PASS: math/test-float64-nextup
PASS: math/test-float64-pow
PASS: math/test-float64-remainder
PASS: math/test-float64-remquo
PASS: math/test-float64-rint
PASS: math/test-float64-round
--
FAIL: math/test-float64x-fpclassify
PASS: math/test-float64x-frexp
PASS: math/test-float64x-fromfp
PASS: math/test-float64x-fromfpx
PASS: math/test-float64x-getpayload
PASS: math/test-float64x-hypot
PASS: math/test-float64x-ilogb
PASS: math/test-float64x-iscanonical
PASS: math/test-float64x-iseqsig
PASS: math/test-float64x-isfinite
PASS: math/test-float64x-isgreater
--
FAIL: math/test-float64x-isinf
PASS: math/test-float64x-isless
PASS: math/test-float64x-islessequal
PASS: math/test-float64x-islessgreater
FAIL: math/test-float64x-isnan
PASS: math/test-float64x-isnormal
PASS: math/test-float64x-issignaling
PASS: math/test-float64x-issubnormal
PASS: math/test-float64x-isunordered
PASS: math/test-float64x-iszero
PASS: math/test-float64x-j0
PASS: math/test-float64x-j1
PASS: math/test-float64x-jn
PASS: math/test-float64x-lgamma
PASS: math/test-float64x-llogb
--
FAIL: math/test-float64x-modf
PASS: math/test-float64x-nearbyint
PASS: math/test-float64x-nextafter
PASS: math/test-float64x-nextdown
PASS: math/test-float64x-nexttoward
PASS: math/test-float64x-nextup
PASS: math/test-float64x-pow
PASS: math/test-float64x-remainder
PASS: math/test-float64x-remquo
PASS: math/test-float64x-rint
PASS: math/test-float64x-round
--
FAIL: math/test-ldouble-fpclassify
PASS: math/test-ldouble-frexp
PASS: math/test-ldouble-fromfp
PASS: math/test-ldouble-fromfpx
PASS: math/test-ldouble-getpayload
PASS: math/test-ldouble-hypot
PASS: math/test-ldouble-ilogb
PASS: math/test-ldouble-iscanonical
PASS: math/test-ldouble-iseqsig
PASS: math/test-ldouble-isfinite
PASS: math/test-ldouble-isgreater
--
FAIL: math/test-ldouble-isinf
PASS: math/test-ldouble-isless
PASS: math/test-ldouble-islessequal
PASS: math/test-ldouble-islessgreater
FAIL: math/test-ldouble-isnan
PASS: math/test-ldouble-isnormal
PASS: math/test-ldouble-issignaling
PASS: math/test-ldouble-issubnormal
PASS: math/test-ldouble-isunordered
PASS: math/test-ldouble-iszero
PASS: math/test-ldouble-j0
PASS: math/test-ldouble-j1
PASS: math/test-ldouble-jn
PASS: math/test-ldouble-lgamma
PASS: math/test-ldouble-llogb
--
FAIL: math/test-ldouble-modf
PASS: math/test-ldouble-nearbyint
PASS: math/test-ldouble-nextafter
PASS: math/test-ldouble-nextdown
PASS: math/test-ldouble-nexttoward
PASS: math/test-ldouble-nextup
PASS: math/test-ldouble-pow
PASS: math/test-ldouble-remainder
PASS: math/test-ldouble-remquo
PASS: math/test-ldouble-rint
PASS: math/test-ldouble-round
--
FAIL: misc/tst-epoll
PASS: misc/tst-epoll-ioctls
PASS: misc/tst-error1
PASS: misc/tst-error1-mem
PASS: misc/tst-fanotify
FAIL: misc/tst-fd_to_filename
PASS: misc/tst-fdopendir-o_path
PASS: misc/tst-fdset
PASS: misc/tst-getauxval
PASS: misc/tst-gethostid
PASS: misc/tst-getpid1-internal
PASS: misc/tst-gettid
PASS: misc/tst-gettid-kill
PASS: misc/tst-glibcsyscalls
PASS: misc/tst-hsearch
PASS: misc/tst-insremque
--
FAIL: misc/tst-memfd_create
PASS: misc/tst-misalign-clone
PASS: misc/tst-mlock2
PASS: misc/tst-mman-consts
PASS: misc/tst-mntent
PASS: misc/tst-mntent-autofs
PASS: misc/tst-mntent-blank-corrupt
PASS: misc/tst-mntent-blank-passno
PASS: misc/tst-mntent-escape
PASS: misc/tst-mntent2
PASS: misc/tst-mount
--
FAIL: misc/tst-pidfd
PASS: misc/tst-pidfd-consts
UNSUPPORTED: misc/tst-pidfd_getpid
UNSUPPORTED: misc/tst-pkey
PASS: misc/tst-ppoll
PASS: misc/tst-prctl
PASS: misc/tst-preadvwritev
PASS: misc/tst-preadvwritev2
PASS: misc/tst-preadvwritev64
PASS: misc/tst-preadvwritev64v2
PASS: misc/tst-process_mrelease
--
FAIL: misc/tst-syscall-restart
PASS: misc/tst-syscalls
PASS: misc/tst-sysconf-iov_max
UNSUPPORTED: misc/tst-syslog
UNSUPPORTED: misc/tst-syslog-long-progname
UNSUPPORTED: misc/tst-sysvmsg-linux
UNSUPPORTED: misc/tst-sysvsem-linux
UNSUPPORTED: misc/tst-sysvshm-linux
PASS: misc/tst-tgkill
PASS: misc/tst-timerfd
PASS: misc/tst-tsearch
--
FAIL: misc/tst-ttyname-namespace
PASS: misc/tst-warn-wide
PASS: misc/tst-writev

Running nis ...
PASS: nis/check-abi-libnsl

Running nptl ...
PASS: nptl/check-abi-libpthread
PASS: nptl/check-installed-headers-c
PASS: nptl/check-installed-headers-cxx
--
FAIL: nptl/tst-attr3
PASS: nptl/tst-attr4
PASS: nptl/tst-audit-threads
PASS: nptl/tst-backtrace1
PASS: nptl/tst-bad-schedattr
PASS: nptl/tst-barrier1
PASS: nptl/tst-barrier2
PASS: nptl/tst-barrier3
PASS: nptl/tst-barrier4
PASS: nptl/tst-barrier5
PASS: nptl/tst-basic1
--
FAIL: nptl/tst-cancel31
PASS: nptl/tst-cancel4
PASS: nptl/tst-cancel4_1
PASS: nptl/tst-cancel4_2
PASS: nptl/tst-cancel5
PASS: nptl/tst-cancel6
PASS: nptl/tst-cancel7
PASS: nptl/tst-cancel8
PASS: nptl/tst-cancel9
PASS: nptl/tst-cancelx10
PASS: nptl/tst-cancelx11
--
FAIL: nptl/tst-pthread_cancel-exited
PASS: nptl/tst-pthread_cancel-select-loop
PASS: nptl/tst-pthread_exit-nothreads
PASS: nptl/tst-pthread_exit-nothreads-static
FAIL: nptl/tst-pthread_kill-exited
PASS: nptl/tst-pthread_kill-exiting
PASS: nptl/tst-raise1
PASS: nptl/tst-robust-fork
PASS: nptl/tst-robust1
PASS: nptl/tst-robust10
PASS: nptl/tst-robust11
PASS: nptl/tst-robust2
PASS: nptl/tst-robust3
PASS: nptl/tst-robust4
PASS: nptl/tst-robust5
--
FAIL: nptl/tst-sem16
PASS: nptl/tst-sem17
PASS: nptl/tst-sem18
PASS: nptl/tst-sem19
PASS: nptl/tst-sem2
PASS: nptl/tst-sem3
FAIL: nptl/tst-sem4
PASS: nptl/tst-sem5
PASS: nptl/tst-sem6
FAIL: nptl/tst-sem7
FAIL: nptl/tst-sem8
FAIL: nptl/tst-sem9
PASS: nptl/tst-sem_getvalue-affinity
FAIL: nptl/tst-setgetname
PASS: nptl/tst-setuid3
PASS: nptl/tst-signal1
PASS: nptl/tst-signal2
PASS: nptl/tst-signal3
PASS: nptl/tst-signal4
PASS: nptl/tst-signal5
PASS: nptl/tst-signal6
PASS: nptl/tst-signal7
PASS: nptl/tst-signal8
PASS: nptl/tst-spin1
--
XFAIL: posix/annexc
PASS: posix/bug-ga1
UNSUPPORTED: posix/bug-ga2
UNSUPPORTED: posix/bug-ga2-mem
PASS: posix/bug-getopt1
PASS: posix/bug-getopt2
PASS: posix/bug-getopt3
PASS: posix/bug-getopt4
PASS: posix/bug-getopt5
PASS: posix/bug-glob2
PASS: posix/bug-glob2-mem
--
FAIL: posix/tst-spawn2
FAIL: posix/tst-spawn2-pidfd
PASS: posix/tst-spawn3
PASS: posix/tst-spawn3-pidfd
PASS: posix/tst-spawn4
PASS: posix/tst-spawn4-compat
PASS: posix/tst-spawn4-pidfd
FAIL: posix/tst-spawn5
FAIL: posix/tst-spawn5-pidfd
FAIL: posix/tst-spawn6
FAIL: posix/tst-spawn6-pidfd
PASS: posix/tst-spawn7
PASS: posix/tst-spawn7-pidfd
PASS: posix/tst-sysconf
PASS: posix/tst-sysconf-cache-linesize
PASS: posix/tst-sysconf-cache-linesize-static
PASS: posix/tst-sysconf-empty-chroot
PASS: posix/tst-truncate
PASS: posix/tst-truncate64
PASS: posix/tst-vfork1
PASS: posix/tst-vfork2
--
FAIL: posix/tst-wait3
FAIL: posix/tst-wait4
FAIL: posix/tst-waitid
PASS: posix/tst-wordexp-nocmd
PASS: posix/tstgetopt
PASS: posix/wordexp-test
PASS: posix/wordexp-tst

Running resolv ...
PASS: resolv/check-abi-libanl
PASS: resolv/check-abi-libnss_dns
PASS: resolv/check-abi-libresolv
PASS: resolv/check-installed-headers-c
--
FAIL: rt/tst-aio8
PASS: rt/tst-aio9
PASS: rt/tst-bz28213
PASS: rt/tst-clock_nanosleep2
FAIL: rt/tst-cpuclock2
PASS: rt/tst-cputimer1
FAIL: rt/tst-cputimer2
PASS: rt/tst-cputimer3
PASS: rt/tst-mqueue1
PASS: rt/tst-mqueue10
PASS: rt/tst-mqueue2
PASS: rt/tst-mqueue3
PASS: rt/tst-mqueue4
PASS: rt/tst-mqueue5
PASS: rt/tst-mqueue6
PASS: rt/tst-mqueue7
PASS: rt/tst-mqueue8
--
FAIL: rt/tst-shm
FAIL: rt/tst-shm-cancel
PASS: rt/tst-timer
PASS: rt/tst-timer-sigmask
PASS: rt/tst-timer2
PASS: rt/tst-timer3
PASS: rt/tst-timer4
PASS: rt/tst-timer5

Running setjmp ...
PASS: setjmp/bug269-setjmp
PASS: setjmp/check-installed-headers-c
--
FAIL: stdio-common/tst-freopen2
FAIL: stdio-common/tst-freopen2-mem
FAIL: stdio-common/tst-freopen3
FAIL: stdio-common/tst-freopen3-mem
PASS: stdio-common/tst-freopen4
PASS: stdio-common/tst-freopen4-mem
FAIL: stdio-common/tst-freopen5
FAIL: stdio-common/tst-freopen5-mem
PASS: stdio-common/tst-freopen6
PASS: stdio-common/tst-freopen6-mem
FAIL: stdio-common/tst-freopen64-2
FAIL: stdio-common/tst-freopen64-2-mem
FAIL: stdio-common/tst-freopen64-3
FAIL: stdio-common/tst-freopen64-3-mem
PASS: stdio-common/tst-freopen64-4
PASS: stdio-common/tst-freopen64-4-mem
PASS: stdio-common/tst-freopen64-6
PASS: stdio-common/tst-freopen64-6-mem
PASS: stdio-common/tst-freopen64-7
PASS: stdio-common/tst-freopen7
PASS: stdio-common/tst-fseek
PASS: stdio-common/tst-fwrite
PASS: stdio-common/tst-fwrite-memstrm
PASS: stdio-common/tst-fwrite-overflow
--
FAIL: stdio-common/tst-printf-fp-free
PASS: stdio-common/tst-printf-fp-free-mem
FAIL: stdio-common/tst-printf-fp-leak
PASS: stdio-common/tst-printf-fp-leak-mem
PASS: stdio-common/tst-printf-intn
PASS: stdio-common/tst-printf-oct
PASS: stdio-common/tst-printf-round
PASS: stdio-common/tst-printfsz
PASS: stdio-common/tst-printfsz-islongdouble
PASS: stdio-common/tst-put-error
PASS: stdio-common/tst-renameat2
PASS: stdio-common/tst-rndseek
PASS: stdio-common/tst-scanf-binary-c11
--
FAIL: stdlib/test-bz22786
PASS: stdlib/test-canon
PASS: stdlib/test-canon2
PASS: stdlib/test-cxa_atexit-race
PASS: stdlib/test-cxa_atexit-race2
PASS: stdlib/test-dlclose-exit-race
PASS: stdlib/test-on_exit-race
PASS: stdlib/testdiv
PASS: stdlib/testmb
PASS: stdlib/testmb2
PASS: stdlib/testrand
--
FAIL: support/tst-support-open-dev-null-range
FAIL: support/tst-support-process_state
PASS: support/tst-support_blob_repeat
PASS: support/tst-support_capture_subprocess
FAIL: support/tst-support_descriptors
PASS: support/tst-support_format_dns_packet
UNSUPPORTED: support/tst-support_fuse
PASS: support/tst-support_quote_blob
PASS: support/tst-support_quote_blob_wide
PASS: support/tst-support_quote_string
PASS: support/tst-support_readdir
PASS: support/tst-support_record_failure
PASS: support/tst-support_record_failure-2
PASS: support/tst-test_compare
PASS: support/tst-test_compare_blob
--
FAIL: wcsmbs/tst-fgetwc-after-eof
PASS: wcsmbs/tst-mbrtowc
PASS: wcsmbs/tst-mbrtowc2
PASS: wcsmbs/tst-mbsrtowcs
PASS: wcsmbs/tst-mbstowcs
PASS: wcsmbs/tst-rsi-wcslen
PASS: wcsmbs/tst-wchar-h
PASS: wcsmbs/tst-wcpncpy
PASS: wcsmbs/tst-wcrtomb
PASS: wcsmbs/tst-wcslcat
PASS: wcsmbs/tst-wcslcat2
(lfs chroot) root:/sources/glibc-2/
